#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
5.855856     1.774853     2.890746     171571000.517292
5.870871     1.756882     2.884832     171658981.852224
5.885886     1.736272     2.882496     171958642.034060
5.900901     1.712597     2.880294     172265619.223491
5.915916     1.686212     2.875948     172443400.199277
5.930931     1.659369     2.866122     172290385.334875
5.945946     1.638432     2.851514     171846232.440588
5.960961     1.625359     2.839910     171579117.335431
5.975976     1.613269     2.836161     171784242.402268
5.990991     1.595613     2.836484     172235423.441713
6.006006     1.572217     2.835062     172580538.969105
6.021021     1.545711     2.829014     172642939.891042
6.036036     1.518637     2.816783     172325175.034034
6.051051     1.495395     2.797526     171572790.145832
6.066066     1.481107     2.775174     170624306.046268
6.081081     1.475498     2.757210     169939406.771789
6.096096     1.472018     2.747802     169777727.280568
6.111111     1.463960     2.743652     169938842.487323
6.126126     1.451130     2.738252     170021123.488482
6.141141     1.438188     2.728996     169861719.164083
6.156156     1.428941     2.718320     169610907.952905
6.171171     1.423105     2.710158     169514036.936858
6.186186     1.417854     2.705936     169661808.481776
6.201201     1.411490     2.704841     170004791.439025
6.216216     1.403439     2.707048     170555423.295627
6.231231     1.390659     2.712901     171337085.993652
6.246246     1.369787     2.718182     172084254.843019
6.261261     1.342877     2.716946     172419463.419963
6.276276     1.315373     2.707226     172214672.595654
6.291291     1.291756     2.690856     171582840.162431
6.306306     1.273963     2.671560     170758963.973485
6.321321     1.260824     2.652212     169925923.226174
6.336336     1.251225     2.633066     169099981.646292
6.351351     1.245756     2.614640     168314538.116754
6.366366     1.244551     2.598877     167695315.278191
6.381381     1.246123     2.588002     167387448.073826
6.396396     1.247339     2.582818     167445228.561789
6.411411     1.245455     2.581690     167764980.916703
6.426426     1.239724     2.581998     168177930.767109
6.441441     1.231196     2.582066     168575319.521578
6.456456     1.220574     2.581854     168954371.135590
6.471471     1.207621     2.580869     169282680.874381
6.486486     1.192687     2.578128     169495267.761035
6.501502     1.176715     2.572809     169537121.108907
6.516517     1.161308     2.565022     169414350.711902
6.531532     1.146984     2.556151     169217435.702401
6.546547     1.132797     2.546651     168976062.498452
6.561562     1.118276     2.535383     168614255.869214
6.576577     1.105036     2.520752     168024858.497527
6.591592     1.096829     2.503919     167283867.961213
6.606607     1.094472     2.490631     166775188.587076
6.621622     1.091608     2.484403     166736235.141776
6.636637     1.082667     2.479981     166816874.549617
6.651652     1.070681     2.471101     166595612.894302
6.666667     1.061421     2.458359     166110679.721376
6.681682     1.056249     2.446415     165675970.500247
6.696697     1.051712     2.437758     165460632.091031
6.711712     1.044941     2.429964     165301421.318978
6.726727     1.037518     2.419995     164991568.475058
6.741742     1.032946     2.408571     164579250.276048
6.756757     1.031616     2.399806     164345528.192586
6.771772     1.029302     2.395419     164409654.048934
6.786787     1.023127     2.391873     164530270.100445
6.801802     1.015546     2.385608     164462393.576511
6.816817     1.010518     2.378147     164309966.945153
6.831832     1.007367     2.373839     164373584.792850
6.846847     1.001717     2.373239     164693199.194207
6.861862     0.991522     2.373160     165048857.520019
6.876877     0.977456     2.370780     165244115.612367
6.891892     0.961639     2.364339     165154985.828266
6.906907     0.946501     2.354434     164821397.807227
6.921922     0.932135     2.342435     164337901.399949
6.936937     0.918066     2.327684     163657248.966118
6.951952     0.905580     2.308955     162691862.861043
6.966967     0.897256     2.286034     161424700.290482
6.981982     0.896566     2.260831     159989089.111946
6.996997     0.905177     2.238814     158771779.152357
7.012012     0.919289     2.225637     158175996.230566
7.027027     0.932342     2.221499     158219930.721401
7.042042     0.941749     2.222481     158628158.745301
7.057057     0.948584     2.227318     159312314.354464
7.072072     0.951339     2.237446     160377233.982056
7.087087     0.945626     2.251158     161702665.778084
7.102102     0.929718     2.262533     162864077.002877
7.117117     0.906957     2.266053     163462312.377358
7.132132     0.883107     2.260188     163383218.304387
7.147147     0.862606     2.247237     162789000.294566
7.162162     0.846813     2.230578     161921703.297797
7.177177     0.835296     2.212342     160934640.138396
7.192192     0.827659     2.193636     159907688.945780
7.207207     0.823512     2.175753     158935205.493186
7.222222     0.821270     2.159571     158081801.810773
7.237237     0.819634     2.143841     157256581.051241
7.252252     0.819719     2.127126     156354214.914598
7.267267     0.823616     2.109931     155411446.436724
7.282282     0.832762     2.094508     154594184.852571
7.297297     0.846928     2.084334     154160432.715692
7.312312     0.863277     2.082693     154356024.185657
7.327327     0.876969     2.090926     155284350.567817
7.342342     0.882097     2.107196     156813359.094072
7.357357     0.874697     2.125095     158468811.230068
7.372372     0.856688     2.136999     159681716.643011
7.387387     0.834097     2.139243     160174941.881488
