#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
5.900901     1.869538     1.304956     78047269.383238
5.915916     1.878309     1.315081     78852981.006541
5.930931     1.881419     1.329211     79902500.679242
5.945946     1.877939     1.343200     80947815.368767
5.960961     1.869770     1.353840     81795043.033785
5.975976     1.860238     1.360207     82386737.005472
5.990991     1.851585     1.364756     82869956.874104
6.006006     1.841279     1.369841     83387224.969294
6.021021     1.826020     1.371836     83717428.188960
6.036036     1.809318     1.364854     83499072.985171
6.051051     1.799251     1.349329     82754592.977958
6.066066     1.800036     1.332099     81900602.312481
6.081081     1.809984     1.319888     81350733.087732
6.096096     1.824449     1.316799     81360751.805443
6.111111     1.837148     1.323397     81969812.933169
6.126126     1.843265     1.336006     82954094.011998
6.141141     1.842088     1.349492     83996849.282276
6.156156     1.835884     1.361081     84925301.659546
6.171171     1.825816     1.370414     85716211.976742
6.186186     1.812098     1.375540     86246160.439286
6.201201     1.798199     1.374434     86385953.856004
6.216216     1.787925     1.369464     86281993.422206
6.231231     1.780975     1.364239     86160446.780434
6.246246     1.775256     1.359352     86058647.677196
6.261261     1.770869     1.353957     85923125.117942
6.276276     1.768506     1.349206     85826966.475409
6.291291     1.766652     1.346476     85858246.551934
6.306306     1.762932     1.344482     85935674.432649
6.321321     1.758263     1.339618     85828636.759714
6.336336     1.757724     1.332101     85549800.610742
6.351351     1.762713     1.328010     85489124.120295
6.366366     1.767971     1.331135     85892905.224469
6.381381     1.768004     1.339404     86630321.797445
6.396396     1.760713     1.348175     87402742.664128
6.411411     1.746991     1.352876     87913441.578367
6.426426     1.730396     1.349822     87920398.107801
6.441441     1.717003     1.338927     87414514.992550
6.456456     1.710342     1.325202     86720093.625765
6.471471     1.708242     1.313179     86133159.453006
6.486486     1.707354     1.302533     85633149.724148
6.501502     1.708213     1.291225     85086203.672345
6.516517     1.712789     1.280846     84597175.412690
6.531532     1.719096     1.273913     84333147.866338
6.546547     1.724615     1.268623     84175985.556484
6.561562     1.731468     1.262751     83978555.832511
6.576577     1.742686     1.259152     83930808.398279
6.591592     1.756015     1.263074     84384463.556249
6.606607     1.764570     1.275413     85402908.749132
6.621622     1.763178     1.290769     86627596.841076
6.636637     1.752585     1.301824     87567661.023832
6.651652     1.738172     1.304532     87948385.541896
6.666667     1.725487     1.299738     87822991.810623
6.681682     1.717279     1.290522     87396631.141825
6.696697     1.714378     1.279997     86878671.605867
6.711712     1.715870     1.271126     86469968.382296
6.726727     1.719564     1.265301     86266273.960655
6.741742     1.723596     1.262733     86283372.556833
6.756757     1.725672     1.263066     86498353.145006
6.771772     1.723825     1.263464     86717897.729260
6.786787     1.719643     1.260066     86676460.028199
6.801802     1.717594     1.251993     86311670.894171
6.816817     1.721052     1.242565     85850780.114020
6.831832     1.729286     1.236226     85600923.789045
6.846847     1.739074     1.234898     85696927.486302
6.861862     1.747463     1.238225     86116210.654389
6.876877     1.752326     1.244516     86743147.735791
6.891892     1.752864     1.251369     87411224.849741
6.906907     1.749436     1.256302     87947017.691825
6.921922     1.744055     1.257065     88191728.067143
6.936937     1.739989     1.253457     88129375.226618
6.951952     1.739436     1.247399     87893304.137268
6.966967     1.742980     1.240806     87617560.019696
6.981982     1.751561     1.235694     87444627.180832
6.996997     1.764290     1.236296     87675385.965210
7.012012     1.776033     1.244747     88464174.464060
7.027027     1.782288     1.258185     89610634.559313
7.042042     1.782670     1.272587     90830067.350943
7.057057     1.778446     1.286360     92008877.012840
7.072072     1.769549     1.298738     93091880.089520
7.087087     1.755806     1.307264     93901978.483654
7.102102     1.739975     1.308797     94211211.623730
7.117117     1.727213     1.303610     94036287.187127
7.132132     1.720630     1.296111     93692575.089457
7.147147     1.718536     1.291379     93547003.081856
7.162162     1.716074     1.290360     93669549.983876
7.177177     1.710963     1.289933     93834921.277950
7.192192     1.704108     1.287765     93873139.078133
7.207207     1.697062     1.282951     93717480.539667
7.222222     1.691334     1.275908     93397181.965656
7.237237     1.687320     1.267255     92956616.385307
7.252252     1.685978     1.257281     92416319.420086
7.267267     1.687891     1.247824     91911077.375732
7.282282     1.691539     1.240281     91544294.966159
7.297297     1.695232     1.233814     91254711.023730
7.312312     1.699682     1.226568     90905456.678183
7.327327     1.707146     1.219467     90564782.351845
7.342342     1.716915     1.214873     90408473.784185
7.357357     1.727606     1.212638     90426654.714286
7.372372     1.739450     1.213160     90650227.986017
7.387387     1.750709     1.217856     91186478.222568
7.402402     1.758456     1.224899     91900191.235003
7.417417     1.763725     1.230528     92509776.785150
7.432432     1.770269     1.234780     93017366.189879
7.447447     1.779051     1.240792     93659130.491436
7.462462     1.788369     1.250403     94574839.304752
7.477477     1.796301     1.264127     95805263.479215
7.492492     1.800669     1.281355     97305931.397510
7.507508     1.800109     1.300440     98953115.834571
7.522523     1.793812     1.319289     100588156.613244
