#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
5.465465     1.683250     2.675528     148210915.502648
5.480480     1.685999     2.655526     147507027.957847
5.495495     1.692728     2.634628     146747162.729861
5.510511     1.703856     2.615906     146102456.441156
5.525526     1.718371     2.601267     145680711.704477
5.540541     1.733533     2.592268     145571253.044381
5.555556     1.746340     2.585923     145608450.409419
5.570571     1.760444     2.579400     145633697.326246
5.585586     1.778547     2.577565     145922365.319548
5.600601     1.795819     2.584836     146727351.448395
5.615616     1.805126     2.599631     147962834.016121
5.630631     1.801974     2.614402     149201385.109148
5.645646     1.789843     2.618892     149856188.637342
5.660661     1.780656     2.609785     149732250.524504
5.675676     1.782728     2.595463     149305545.345304
5.690691     1.793247     2.584054     149042479.366830
5.705706     1.808475     2.575342     148931902.124841
5.720721     1.830860     2.569355     148976735.928863
5.735736     1.861175     2.572113     149528058.972652
5.750751     1.893521     2.588314     150863775.899051
5.765766     1.921440     2.616228     152888935.033023
5.780781     1.943510     2.652261     155398292.529426
5.795796     1.959830     2.696766     158416301.404173
5.810811     1.966260     2.751060     162024340.239714
5.825826     1.956599     2.811643     166020286.065405
5.840841     1.927978     2.870696     169944097.610615
5.855856     1.882606     2.919561     173281219.818730
5.870871     1.828018     2.952230     175669472.875516
5.885886     1.773193     2.969557     177152379.519597
5.900901     1.722577     2.976419     178014694.906262
5.915916     1.677110     2.977070     178506722.503910
5.930931     1.636019     2.974861     178826967.944525
5.945946     1.596667     2.972006     179107632.857936
5.960961     1.554661     2.967027     179259124.598105
5.975976     1.509839     2.952566     178834796.612427
5.990991     1.472262     2.924205     177561980.255048
6.006006     1.452751     2.890646     175964178.223882
6.021021     1.449751     2.866830     174950675.437430
6.036036     1.450711     2.860620     175007028.539165
6.051051     1.442262     2.867847     175885620.978508
6.066066     1.419305     2.877080     176889750.380207
6.081081     1.385758     2.878572     177419543.992330
6.096096     1.349552     2.868715     177248589.935081
6.111111     1.316910     2.849873     176518069.711615
6.126126     1.289869     2.825373     175430586.219037
6.141141     1.269631     2.797292     174112699.028144
6.156156     1.257363     2.768314     172730316.883900
6.171171     1.253158     2.741981     171504502.848912
6.186186     1.254903     2.722464     170698106.345578
6.201201     1.256925     2.711686     170434980.637312
6.216216     1.254383     2.706034     170491555.267705
6.231231     1.247618     2.701241     170600674.658355
6.246246     1.237767     2.696028     170681729.687569
6.261261     1.225205     2.688621     170621934.993109
6.276276     1.212435     2.677167     170302482.978811
6.291291     1.203052     2.662726     169789114.883015
6.306306     1.198182     2.649038     169319414.702147
6.321321     1.195328     2.638466     169045194.343236
6.336336     1.192696     2.629707     168884231.792990
6.351351     1.191969     2.622528     168822292.111910
6.366366     1.192975     2.620576     169095426.286481
6.381381     1.190572     2.625769     169830116.184072
6.396396     1.179636     2.634465     170793511.517449
6.411411     1.159219     2.640430     171582014.556283
6.426426     1.132672     2.638315     171846121.832499
6.441441     1.105817     2.626263     171460807.759715
6.456456     1.083993     2.606355     170557713.755947
6.471471     1.069553     2.583099     169428944.856313
6.486486     1.061770     2.560264     168320776.234689
6.501502     1.058797     2.540277     167393406.635499
6.516517     1.057585     2.523823     166693185.556986
6.531532     1.056560     2.508568     166067409.888048
6.546547     1.057968     2.493116     165423908.957560
6.561562     1.063755     2.480193     164943856.464065
6.576577     1.071919     2.473051     164845257.799489
6.591592     1.079158     2.472129     165160042.799052
6.606607     1.082959     2.476670     165840289.075933
6.621622     1.080465     2.484826     166764593.413046
6.636637     1.070513     2.492128     167633935.929837
6.651652     1.055874     2.495112     168214350.961292
6.666667     1.039197     2.493396     168478145.645988
6.681682     1.022360     2.486432     168385943.346502
6.696697     1.008672     2.474636     167963727.950594
6.711712     1.000664     2.461615     167454549.596531
6.726727     0.996625     2.451912     167167616.623076
6.741742     0.992056     2.446137     167146162.563517
6.756757     0.985144     2.441301     167187262.341174
6.771772     0.977120     2.435799     167181150.133562
6.786787     0.968700     2.429712     167133149.781037
6.801802     0.960135     2.423057     167044063.499067
6.816817     0.951497     2.415877     166916770.611934
6.831832     0.943051     2.407757     166722199.664540
6.846847     0.935999     2.399170     166492701.733409
6.861862     0.929829     2.392024     166360826.736881
6.876877     0.922203     2.386126     166313749.964272
6.891892     0.912479     2.379054     166182887.218816
6.906907     0.902612     2.369011     165841899.455799
6.921922     0.895294     2.356715     165339758.649362
6.936937     0.891566     2.344872     164865748.492140
6.951952     0.889760     2.336042     164600386.216366
6.966967     0.886799     2.330140     164539196.069827
6.981982     0.881413     2.324792     164515337.628371
6.996997     0.874540     2.318092     164393988.804763
7.012012     0.867947     2.309593     164142709.485894
7.027027     0.862788     2.300464     163844015.199623
7.042042     0.858371     2.291679     163567088.151029
7.057057     0.854417     2.282343     163248071.984760
7.072072     0.852693     2.272432     162885011.878347
7.087087     0.854275     2.264302     162646827.987639
7.102102     0.857872     2.261096     162760632.275836
7.117117     0.859016     2.264604     163357817.427657
7.132132     0.852335     2.271695     164215070.750757
7.147147     0.836995     2.275403     164829368.199145
7.162162     0.818175     2.270789     164840705.312470
7.177177     0.802194     2.258964     164326086.716603
7.192192     0.791462     2.244223     163595275.620193
7.207207     0.785144     2.229806     162883665.909200
7.222222     0.781683     2.217075     162291142.105822
7.237237     0.779915     2.206713     161868438.621147
7.252252     0.778301     2.199185     161650934.477682
7.267267     0.775083     2.194026     161605630.683274
7.282282     0.768681     2.189693     161619698.006440
7.297297     0.758911     2.183143     161468468.128425
7.312312     0.748596     2.172032     160977229.049132
7.327327     0.741194     2.157329     160215874.976649
7.342342     0.737948     2.141778     159386864.183187
7.357357     0.737973     2.127682     158661709.981005
7.372372     0.739371     2.115492     158074654.014737
7.387387     0.741801     2.103978     157534454.387312
7.402402     0.746902     2.093476     157066717.743163
7.417417     0.754673     2.086826     156885417.012431
7.432432     0.761900     2.085604     157110930.582693
7.447447     0.765789     2.087789     157593253.005802
7.462462     0.766997     2.091114     158162453.808231
7.477477     0.766382     2.096593     158895892.769390
7.492492     0.761161     2.105126     159863011.213932
7.507508     0.748090     2.113335     160808025.330885
7.522523     0.728123     2.115440     161290078.884569
7.537538     0.706872     2.108329     161068795.302454
7.552553     0.689792     2.094346     160319247.243711
7.567568     0.678305     2.077868     159374128.326264
7.582583     0.671015     2.061826     158457478.924377
7.597598     0.665947     2.047049     157633367.687186
7.612613     0.661766     2.033192     156875652.304347
7.627628     0.657820     2.019225     156105355.140771
7.642643     0.654824     2.003941     155228685.607011
7.657658     0.654428     1.987483     154256326.518259
7.672673     0.657449     1.971215     153293681.514765
7.687688     0.663998     1.956228     152425921.429642
7.702703     0.674512     1.944108     151777383.484037
7.717718     0.687984     1.937773     151577687.601839
7.732733     0.700606     1.939182     151982996.942914
7.747748     0.707428     1.946745     152872029.304095
7.762763     0.706168     1.955235     153836257.209205
7.777778     0.699432     1.959921     154503213.026582
7.792793     0.691429     1.960275     154829508.032639
7.807808     0.684046     1.958277     154969716.212479
7.822823     0.676969     1.955234     155026464.017927
7.837838     0.670106     1.950977     154985781.955812
7.852853     0.664373     1.946281     154908952.908957
7.867868     0.658608     1.942882     154934066.875499
7.882883     0.650450     1.939732     154978112.304399
7.897898     0.640171     1.934286     154837382.680877
7.912913     0.629536     1.925698     154442969.332989
7.927928     0.619834     1.914060     153800878.600217
7.942943     0.612380     1.899787     152943088.481299
7.957958     0.608108     1.884169     151972483.637809
7.972973     0.606844     1.868395     150984591.437134
7.987988     0.608573     1.852850     150010320.856018
8.003003     0.613826     1.838661     149141397.080625
8.018018     0.621883     1.827647     148526122.646273
8.033033     0.631057     1.820620     148232132.479763
8.048048     0.639832     1.817595     148262444.909963
8.063063     0.646769     1.818262     148593616.073978
8.078078     0.650275     1.821708     149152460.186258
8.093093     0.649266     1.825829     149767663.383458
8.108108     0.644497     1.828189     150239485.777527
8.123123     0.637715     1.827924     150495910.080084
8.138138     0.629919     1.824869     150522122.407314
8.153153     0.622435     1.818589     150280847.205559
8.168168     0.617217     1.809817     149831428.848618
8.183183     0.615140     1.800631     149344949.925703
8.198198     0.615552     1.793030     148987406.140503
8.213213     0.616794     1.788264     148863543.496845
8.228228     0.616594     1.786321     148973615.476657
8.243243     0.613105     1.785584     149183896.526892
8.258258     0.605884     1.783488     149280206.714913
8.273273     0.596394     1.777520     149051169.062401
8.288288     0.587564     1.766896     148429196.829206
8.303303     0.581817     1.752833     147514603.534967
8.318318     0.580409     1.737396     146479839.962287
8.333333     0.583296     1.723024     145530381.179646
8.348348     0.588899     1.711572     144823589.284819
8.363363     0.594993     1.703201     144374434.341734
8.378378     0.600429     1.696510     144065444.923831
8.393393     0.606009     1.690400     143803835.400143
8.408408     0.612850     1.685993     143685580.027578
8.423423     0.619413     1.685376     143889438.265664
8.438438     0.622249     1.687681     144343076.379268
8.453453     0.620469     1.689116     144722902.385637
8.468468     0.616571     1.687236     144818526.786413
8.483483     0.613137     1.682499     144668066.676816
8.498498     0.611051     1.676285     144388867.230362
8.513514     0.610337     1.669535     144061506.638596
8.528529     0.610742     1.662959     143747104.772138
8.543544     0.611479     1.656941     143479060.414319
8.558559     0.611799     1.650698     143189738.538652
8.573574     0.612411     1.643145     142784558.720728
8.588589     0.614642     1.634460     142278626.959607
8.603604     0.619213     1.625595     141754348.352860
8.618619     0.626243     1.617643     141307075.577486
8.633634     0.635578     1.611598     141024274.437145
8.648649     0.646595     1.609071     141047987.034964
8.663664     0.656581     1.611031     141464967.966623
8.678679     0.662959     1.615265     142082649.167391
8.693694     0.666307     1.618808     142640603.391115
8.708709     0.668560     1.620671     143051454.711829
