#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
8.933934     0.420867     1.944747     176095972.703468
8.948949     0.417392     1.941402     176088474.394906
8.963964     0.413074     1.935739     175869427.861497
8.978979     0.410255     1.927825     175443855.484816
8.993994     0.410382     1.919583     174985908.665814
9.009009     0.412863     1.913495     174722098.444534
9.024024     0.415255     1.910599     174748406.912978
9.039039     0.415461     1.909508     174939216.022135
9.054054     0.413533     1.908168     175106887.569734
9.069069     0.410616     1.905879     175186875.518607
9.084084     0.407268     1.902749     175188713.814935
9.099099     0.403936     1.898678     175102849.893493
9.114114     0.401304     1.894070     174966142.010861
9.129129     0.399396     1.889851     174864047.029842
9.144144     0.397354     1.886608     174851080.154029
9.159159     0.394077     1.883821     174879441.831447
9.174174     0.389504     1.880154     174825164.416609
9.189189     0.384690     1.874937     174625362.815702
9.204204     0.380544     1.868480     174308392.703339
9.219219     0.377515     1.861300     173921764.429100
9.234234     0.375949     1.854116     173532696.712621
9.249249     0.375478     1.848124     173253177.541442
9.264264     0.374494     1.843671     173116281.843834
9.279279     0.371928     1.839306     172986278.601872
9.294294     0.368637     1.833496     172718960.743198
9.309309     0.366141     1.826338     172322575.957170
9.324324     0.364931     1.818812     171889226.909599
9.339339     0.364787     1.811477     171471691.918262
9.354354     0.365640     1.804525     171088259.812502
9.369369     0.367609     1.798542     170794717.093952
9.384384     0.369825     1.794456     170679766.869158
9.399399     0.370631     1.791660     170686495.594705
9.414414     0.370143     1.788232     170632095.883107
9.429429     0.370116     1.783917     170491817.874703
9.444444     0.371041     1.780065     170394621.644870
9.459459     0.372138     1.777353     170405486.407065
9.474474     0.372750     1.775724     170519557.362796
9.489489     0.372310     1.774967     170716980.524503
9.504505     0.370282     1.774367     170929276.936110
9.519520     0.367035     1.772893     171057088.110878
9.534535     0.363439     1.770521     171097651.268842
